Job,Legal Studies,Political Sci,Political Econ,Sociology,Legal Studies (2017),Political Sci (2017),Political Econ (2017),Sociology (2017)
Legal Assistant,9,13,0,5,7,12,1,1
Policy Analyst,2,4,1,0,0,6,0,0
Financial/Business Analyst,1,6,18,3,5,4,11,4
Educator,3,3,1,4,5,9,2,7
Consultant,2,6,5,0,0,2,3,1
Human Resources,0,2,0,2,0,0,2,2
Marketing,1,2,3,2,0,2,3,1
NGOs,0,2,0,3,0,4,0,2
Government,1,4,0,2,2,1,1,1
Accountant/Auditor,1,2,2,0,0,0,2,0
Software,0,2,0,0,0,1,0,1
Sales,0,1,1,1,0,3,1,1
Military,0,3,0,0,1,0,0,0
Total,57,113,70,78,57,129,60,67