Job,EECS,Computer Science,Cognitive Science,Applied Math,EECS (2017),Computer Science (2017),Cognitive Science (2017),Applied Math (2017)
Software Engineer,95,204,26,19,93,136,26,14
Researcher,2,2,14,5,0,3,6,4
Entrepreneur,2,1,0,0,0,1,1,1
Product Manager,1,3,2,0,3,5,3,0
Product Designer,1,1,3,0,0,0,4,0
Hardware Engineer,2,0,0,0,4,2,0,0
Educator,0,0,3,0,0,0,3,4
Data Analyst,0,2,2,2,0,0,2,3
Data Scientist,1,1,0,1,0,2,0,2
Legal Assistant,0,1,1,0,0,0,1,0
Business/Finance Analyst,0,5,0,7,3,6,9,12
Total,170,331,132,78,165,224,111,75